Freq.	V(n032)	I(C24)
3.98107170553496e+004	(-2.07172778398034e-002dB,-1.56450685283443e+000°)	(-7.21228300394547e+001dB,8.99892097446566e+001°)
1.58489319246111e+005	(-2.94721293856502e-001dB,-5.59782338612220e+000°)	(-6.01228290143457e+001dB,8.99570432109167e+001°)
6.30957344480189e+005	(-1.80177469520967e+000dB,-8.62554662942052e+000°)	(-4.81228127675998e+001dB,8.98289853846389e+001°)
2.51188643150956e+006	(-2.68369320819086e+000dB,-2.94776089849359e+000°)	(-3.61225553082787e+001dB,8.93191433599594e+001°)
9.99999999999990e+006	(-2.75699585378031e+000dB,4.53108034785769e-001°)	(-2.41184834654749e+001dB,8.72872403290167e+001°)
3.98107170553493e+007	(-2.56746617455988e+000dB,4.60181985395522e+000°)	(-1.20561492003886e+001dB,7.90602407650256e+001°)
1.58489319246109e+008	(-1.22251290262551e+000dB,8.99679022392762e+000°)	(2.68991035047141e-001dB,3.83410067635215e+001°)
6.30957344480184e+008	(-1.32725710221924e-001dB,3.85702827810479e+000°)	(-3.99107384954380e+000dB,-6.12959975409659e+001°)
2.51188643150954e+009	(-8.54208330633238e-003dB,9.22375706674122e-001°)	(-1.62901068883425e+001dB,-8.33059838990083e+001°)
1.00000000000000e+010	(-4.94527716413687e-004dB,-1.38549425277802e-001°)	(-2.83276020797891e+001dB,-8.83276094956405e+001°)
